unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{5376B385-9F66-34C1-E053-6B04A8C09FF6},192000,2017-05-12 00:00,LE10 0JW,S,N,F,7,"",BRANDON ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{42A5A709-62D6-56E8-E050-A8C06205331E},155000,2016-10-21 00:00,LE10 2TN,S,N,F,128,"",BROOKSIDE,BURBAGE,HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{2FD36066-594F-4BF8-E050-A8C0620562B1},192000,2016-03-03 00:00,LE16 7BF,F,N,L,19,"",BLACKFRIARS PLACE,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,B,A
{404A5AF3-B25A-CD2B-E050-A8C063055C7B},220000,2016-10-07 00:00,LE18 1NN,S,N,F,33,"",HIGHFIELD DRIVE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{404A5AF3-B1B2-CD2B-E050-A8C063055C7B},295000,2016-10-07 00:00,LE65 2LR,D,N,F,15,"",CHURCHILL CLOSE,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{404A5AF3-B021-CD2B-E050-A8C063055C7B},279750,2016-04-08 00:00,LE9 7NG,D,Y,F,21,"",WENTWORTH AVENUE,ELMESTHORPE,LEICESTER,BLABY,LEICESTERSHIRE,A,A
{404A5AF3-AE3C-CD2B-E050-A8C063055C7B},113500,2016-10-04 00:00,LE18 4NA,S,N,F,10,"",MATLOCK AVENUE,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{404A5AF3-AE45-CD2B-E050-A8C063055C7B},220000,2016-09-26 00:00,LE13 0FW,D,N,F,54,"",MARIGOLD CRESCENT,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,A,A
{404A5AF3-AC86-CD2B-E050-A8C063055C7B},120000,2016-10-14 00:00,LE10 1BG,T,N,F,45,"",THORNYCROFT ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{404A5AF3-AEBC-CD2B-E050-A8C063055C7B},117000,2016-09-28 00:00,LE18 4PD,T,N,F,16,"",BASSETT STREET,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
