query,latitude,longitude,display_name,geocode_status
"33 TAMWORTH ROAD ASHBY-DE-LA-ZOUCH, LE65 2PW, United Kingdom",52.7418338,-1.4780254,"Tamworth Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2PR, United Kingdom",ok
"6 WILLESLEY CLOSE ASHBY-DE-LA-ZOUCH, LE65 2QB, United Kingdom",52.7379312,-1.4861526,"Willesley Close, Ashby-de-la-Zouch, Willesley, North West Leicestershire, Leicestershire, England, LE65 2QB, United Kingdom",ok
"3 WELLS ROAD ASHBY-DE-LA-ZOUCH, LE65 2QD, United Kingdom",52.739977,-1.4837047,"3, Wells Road, Shellbrook, Ashby-de-la-Zouch, Willesley, North West Leicestershire, Leicestershire, England, LE65 2QD, United Kingdom",ok
"103 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QH, United Kingdom",52.751919,-1.4774024,"Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",ok
"144 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QH, United Kingdom",52.751919,-1.4774024,"Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",ok
"24 CLIFTON DRIVE ASHBY-DE-LA-ZOUCH, LE65 2QL, United Kingdom",52.7521463,-1.4797093,"Clifton Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QL, United Kingdom",ok
"51 MARLBOROUGH WAY ASHBY-DE-LA-ZOUCH, LE65 2QR, United Kingdom",52.751919,-1.4774024,"Marlborough Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QR, United Kingdom",ok
"4 SHERBOURNE DRIVE ASHBY-DE-LA-ZOUCH, LE65 2QT, United Kingdom",52.7519025,-1.4764127,"Sherbourne Drive, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QT, United Kingdom",ok
"28 ROUEN WAY ASHBY-DE-LA-ZOUCH, LE65 2QX, United Kingdom",52.7488805,-1.4787514,"Rouen Way, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2QX, United Kingdom",ok
"107 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"109 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"111 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"113 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"115 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"117 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"119 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"121 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
"123 SPRING AVENUE ASHBY-DE-LA-ZOUCH, LE65 2RL, United Kingdom",52.7556104,-1.4853441,"Spring Avenue, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 2RQ, United Kingdom",ok
