match_key,unique_id,LMK_KEY,geocode_query,latitude,longitude,display_name,geocode_status,distance_to_prison_m
LE100EQ|18 TUDOR ROAD HINCKLEY,{C18F412B-062E-81A6-E053-6B04A8C0AD18},ed3ec7e0b1699c5eba1c410f0fea6cdacf518579898fb2558bd3b0b2b5c360b3,"18 TUDOR ROAD HINCKLEY, LE10 0EQ, United Kingdom",52.5513085,-1.37788,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DZ, United Kingdom",ok,16149.5315171728
LE100EQ|28 TUDOR ROAD HINCKLEY,{CFC9085C-CA66-9A70-E053-6B04A8C09D6A},5d76cc55d9066c477324ea6252ae780d12058824e7a05ab51d3fd84f363b52dc,"28 TUDOR ROAD HINCKLEY, LE10 0EQ, United Kingdom",52.5513085,-1.37788,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DZ, United Kingdom",ok,16149.5315171728
LE100EQ|40 TUDOR ROAD HINCKLEY,{D4D42645-F373-27F6-E053-6C04A8C0A572},fffe0b1293e620929237cfb08ac80c77069cecee3a8a00249b316b7f5bb68ff8,"40 TUDOR ROAD HINCKLEY, LE10 0EQ, United Kingdom",52.5513085,-1.37788,"Tudor Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0DZ, United Kingdom",ok,16149.5315171728
LE100ER|5 ALEXANDER GARDENS HINCKLEY,{C3C3F9B5-F701-362B-E053-6B04A8C03ACC},f57152c02fddba52b4002e82a08fe6696e10f46063bda41b801a8304c37e16f8,"5 ALEXANDER GARDENS HINCKLEY, LE10 0ER, United Kingdom",52.5500989,-1.3791757,"Alexander Gardens, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0ER, United Kingdom",ok,16266.1702011068
LE100ET|24 BRAME ROAD HINCKLEY,{0B853950-1CB9-69A5-E063-4704A8C07DAC},2a2d0ed0ef49bf60d07139b1d8223d05354ffe3aea9cc50f3526f5aa8e1d4ffd,"24 BRAME ROAD HINCKLEY, LE10 0ET, United Kingdom",52.5482772,-1.3789674,"Brame Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0ET, United Kingdom",ok,16301.7708189459
LE100ET|41 BRAME ROAD HINCKLEY,{BEF7EBBF-0842-7A76-E053-6B04A8C092F7},1c3c7cb51b039d33547b562adfaa72ca2754730d7811da9cab364c1f0dd0db28,"41 BRAME ROAD HINCKLEY, LE10 0ET, United Kingdom",52.5482772,-1.3789674,"Brame Road, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0ET, United Kingdom",ok,16301.7708189459
LE100EU|26 CLIVESWAY HINCKLEY,{F3B6C198-64BD-6E40-E053-6C04A8C0B3B4},fa6cb8c94a7dcc77e6efa0c679c839216f671e8c2eba320f3178368db69f29f6,"26 CLIVESWAY HINCKLEY, LE10 0EU, United Kingdom",52.5470868,-1.3771861,"Clivesway, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EU, United Kingdom",ok,16218.8683223242
LE100EX|17 FREDERICK AVENUE HINCKLEY,{DBA933F9-A286-669D-E053-6B04A8C0AD56},23153641ffdd1ece63490d09eadb6e9505988e63aa678c3b6837eb9ad8880179,"17 FREDERICK AVENUE HINCKLEY, LE10 0EX, United Kingdom",52.5496012,-1.3893778,"Frederick Avenue, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0HA, United Kingdom",ok,16949.764644318
LE100EX|2 FREDERICK AVENUE HINCKLEY,{1EAE3DF6-B634-9EB1-E063-4704A8C09D02},763d3aadfa88044b3c848643519ae5039078c643af210aee0c803b0133cd07fd,"2 FREDERICK AVENUE HINCKLEY, LE10 0EX, United Kingdom",52.5496012,-1.3893778,"Frederick Avenue, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0HA, United Kingdom",ok,16949.764644318
LE100EY|7 GWENDOLINE AVENUE HINCKLEY,{2D4D7609-24BF-BDF9-E063-4804A8C0672F},90be527649258d401a773c5df36a47d9c14e92748adc3891e4b0219ef1699a86,"7 GWENDOLINE AVENUE HINCKLEY, LE10 0EY, United Kingdom",52.5511591,-1.3895469,"LE10 7, Gwendoline Avenue, Wykin, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EZ, United Kingdom",ok,16921.7269454426
LE100EZ|28 GWENDOLINE AVENUE HINCKLEY,{80E1AA98-4E78-7BF8-E053-6C04A8C00BF2},4b063f8430e47d350a6aed757012277681dd42acfe81206fee5a7aab7ab6e2e7,"28 GWENDOLINE AVENUE HINCKLEY, LE10 0EZ, United Kingdom",52.5500596,-1.3909897,"Gwendoline Avenue, Wykin, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0EZ, United Kingdom",ok,17044.1884037187
